Plate information ,,,,,,,,,,,,
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,,,,,
1,1,,31/03/2022 12:16:23 p.m.,27.15,27.15,30.7,30.9,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Background information,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,
1,Meas C,0,3456,40,00:00.0,De=1st Ex=Btm Em=N/A,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Well,MeasA:Result,Calc1:Average within well,,,,,,,,,,
A01,115,0.05375,,,,,,,,,,
A01,,,,,,,,,,,,
A01,,,,,,,,,,,,
A01,,,,,,,,,,,,
A02,116,0.0535,,,,,,,,,,
A02,,,,,,,,,,,,
A02,,,,,,,,,,,,
A02,,,,,,,,,,,,
A03,150,0.05675,,,,,,,,,,
A03,,,,,,,,,,,,
A03,,,,,,,,,,,,
A03,,,,,,,,,,,,
A04,116,0.05525,,,,,,,,,,
A04,,,,,,,,,,,,
A04,,,,,,,,,,,,
A04,,,,,,,,,,,,
A05,108,0.0545,,,,,,,,,,
A05,,,,,,,,,,,,
A05,,,,,,,,,,,,
A05,,,,,,,,,,,,
A06,128,0.055,,,,,,,,,,
A06,,,,,,,,,,,,
A06,,,,,,,,,,,,
A06,,,,,,,,,,,,
A07,127,0.05425,,,,,,,,,,
A07,,,,,,,,,,,,
A07,,,,,,,,,,,,
A07,,,,,,,,,,,,
A08,153,0.05575,,,,,,,,,,
A08,,,,,,,,,,,,
A08,,,,,,,,,,,,
A08,,,,,,,,,,,,
A09,105,0.05475,,,,,,,,,,
A09,,,,,,,,,,,,
A09,,,,,,,,,,,,
A09,,,,,,,,,,,,
A10,130,0.05675,,,,,,,,,,
A10,,,,,,,,,,,,
A10,,,,,,,,,,,,
A10,,,,,,,,,,,,
A11,136,0.0545,,,,,,,,,,
A11,,,,,,,,,,,,
A11,,,,,,,,,,,,
A11,,,,,,,,,,,,
A12,129,0.0545,,,,,,,,,,
A12,,,,,,,,,,,,
A12,,,,,,,,,,,,
A12,,,,,,,,,,,,
B01,114,0.059,,,,,,,,,,
B01,,,,,,,,,,,,
B01,,,,,,,,,,,,
B01,,,,,,,,,,,,
B02,57074,2.055,,,,,,,,,,
B02,,,,,,,,,,,,
B02,,,,,,,,,,,,
B02,,,,,,,,,,,,
B03,65754,2.26275,,,,,,,,,,
B03,,,,,,,,,,,,
B03,,,,,,,,,,,,
B03,,,,,,,,,,,,
B04,64042,2.2795,,,,,,,,,,
B04,,,,,,,,,,,,
B04,,,,,,,,,,,,
B04,,,,,,,,,,,,
B05,127,0.055,,,,,,,,,,
B05,,,,,,,,,,,,
B05,,,,,,,,,,,,
B05,,,,,,,,,,,,
B06,105,0.05525,,,,,,,,,,
B06,,,,,,,,,,,,
B06,,,,,,,,,,,,
B06,,,,,,,,,,,,
B07,138,0.056,,,,,,,,,,
B07,,,,,,,,,,,,
B07,,,,,,,,,,,,
B07,,,,,,,,,,,,
B08,3163,0.10375,,,,,,,,,,
B08,,,,,,,,,,,,
B08,,,,,,,,,,,,
B08,,,,,,,,,,,,
B09,2956,0.08725,,,,,,,,,,
B09,,,,,,,,,,,,
B09,,,,,,,,,,,,
B09,,,,,,,,,,,,
B10,6686,0.2155,,,,,,,,,,
B10,,,,,,,,,,,,
B10,,,,,,,,,,,,
B10,,,,,,,,,,,,
B11,139,0.05625,,,,,,,,,,
B11,,,,,,,,,,,,
B11,,,,,,,,,,,,
B11,,,,,,,,,,,,
B12,124,0.055,,,,,,,,,,
B12,,,,,,,,,,,,
B12,,,,,,,,,,,,
B12,,,,,,,,,,,,
C01,133,0.058,,,,,,,,,,
C01,,,,,,,,,,,,
C01,,,,,,,,,,,,
C01,,,,,,,,,,,,
C02,7231,2.0455,,,,,,,,,,
C02,,,,,,,,,,,,
C02,,,,,,,,,,,,
C02,,,,,,,,,,,,
C03,6408,2.005,,,,,,,,,,
C03,,,,,,,,,,,,
C03,,,,,,,,,,,,
C03,,,,,,,,,,,,
C04,6682,2.21675,,,,,,,,,,
C04,,,,,,,,,,,,
C04,,,,,,,,,,,,
C04,,,,,,,,,,,,
C05,121,0.056,,,,,,,,,,
C05,,,,,,,,,,,,
C05,,,,,,,,,,,,
C05,,,,,,,,,,,,
C06,78,0.056,,,,,,,,,,
C06,,,,,,,,,,,,
C06,,,,,,,,,,,,
C06,,,,,,,,,,,,
C07,130,0.05625,,,,,,,,,,
C07,,,,,,,,,,,,
C07,,,,,,,,,,,,
C07,,,,,,,,,,,,
C08,111,0.06625,,,,,,,,,,
C08,,,,,,,,,,,,
C08,,,,,,,,,,,,
C08,,,,,,,,,,,,
C09,99,0.07825,,,,,,,,,,
C09,,,,,,,,,,,,
C09,,,,,,,,,,,,
C09,,,,,,,,,,,,
C10,116,0.08525,,,,,,,,,,
C10,,,,,,,,,,,,
C10,,,,,,,,,,,,
C10,,,,,,,,,,,,
C11,109,0.056,,,,,,,,,,
C11,,,,,,,,,,,,
C11,,,,,,,,,,,,
C11,,,,,,,,,,,,
C12,115,0.0565,,,,,,,,,,
C12,,,,,,,,,,,,
C12,,,,,,,,,,,,
C12,,,,,,,,,,,,
D01,188926,0.59,,,,,,,,,,
D01,,,,,,,,,,,,
D01,,,,,,,,,,,,
D01,,,,,,,,,,,,
D02,1006,0.079,,,,,,,,,,
D02,,,,,,,,,,,,
D02,,,,,,,,,,,,
D02,,,,,,,,,,,,
D03,183117,0.557,,,,,,,,,,
D03,,,,,,,,,,,,
D03,,,,,,,,,,,,
D03,,,,,,,,,,,,
D04,1246,0.1225,,,,,,,,,,
D04,,,,,,,,,,,,
D04,,,,,,,,,,,,
D04,,,,,,,,,,,,
D05,187355,0.6445,,,,,,,,,,
D05,,,,,,,,,,,,
D05,,,,,,,,,,,,
D05,,,,,,,,,,,,
D06,1336,0.1055,,,,,,,,,,
D06,,,,,,,,,,,,
D06,,,,,,,,,,,,
D06,,,,,,,,,,,,
D07,87,0.056,,,,,,,,,,
D07,,,,,,,,,,,,
D07,,,,,,,,,,,,
D07,,,,,,,,,,,,
D08,1975,0.95775,,,,,,,,,,
D08,,,,,,,,,,,,
D08,,,,,,,,,,,,
D08,,,,,,,,,,,,
D09,1612,0.7875,,,,,,,,,,
D09,,,,,,,,,,,,
D09,,,,,,,,,,,,
D09,,,,,,,,,,,,
D10,785,0.05675,,,,,,,,,,
D10,,,,,,,,,,,,
D10,,,,,,,,,,,,
D10,,,,,,,,,,,,
D11,98,0.05675,,,,,,,,,,
D11,,,,,,,,,,,,
D11,,,,,,,,,,,,
D11,,,,,,,,,,,,
D12,133,0.05775,,,,,,,,,,
D12,,,,,,,,,,,,
D12,,,,,,,,,,,,
D12,,,,,,,,,,,,
E01,127,0.05725,,,,,,,,,,
E01,,,,,,,,,,,,
E01,,,,,,,,,,,,
E01,,,,,,,,,,,,
E02,4602,0.18625,,,,,,,,,,
E02,,,,,,,,,,,,
E02,,,,,,,,,,,,
E02,,,,,,,,,,,,
E03,5592,0.1875,,,,,,,,,,
E03,,,,,,,,,,,,
E03,,,,,,,,,,,,
E03,,,,,,,,,,,,
E04,4847,0.18775,,,,,,,,,,
E04,,,,,,,,,,,,
E04,,,,,,,,,,,,
E04,,,,,,,,,,,,
E05,87,0.05525,,,,,,,,,,
E05,,,,,,,,,,,,
E05,,,,,,,,,,,,
E05,,,,,,,,,,,,
E06,100,0.05675,,,,,,,,,,
E06,,,,,,,,,,,,
E06,,,,,,,,,,,,
E06,,,,,,,,,,,,
E07,94,0.05675,,,,,,,,,,
E07,,,,,,,,,,,,
E07,,,,,,,,,,,,
E07,,,,,,,,,,,,
E08,113,0.0575,,,,,,,,,,
E08,,,,,,,,,,,,
E08,,,,,,,,,,,,
E08,,,,,,,,,,,,
E09,91,0.05775,,,,,,,,,,
E09,,,,,,,,,,,,
E09,,,,,,,,,,,,
E09,,,,,,,,,,,,
E10,124,0.0565,,,,,,,,,,
E10,,,,,,,,,,,,
E10,,,,,,,,,,,,
E10,,,,,,,,,,,,
E11,113,0.056,,,,,,,,,,
E11,,,,,,,,,,,,
E11,,,,,,,,,,,,
E11,,,,,,,,,,,,
E12,132,0.0555,,,,,,,,,,
E12,,,,,,,,,,,,
E12,,,,,,,,,,,,
E12,,,,,,,,,,,,
F01,111,0.05575,,,,,,,,,,
F01,,,,,,,,,,,,
F01,,,,,,,,,,,,
F01,,,,,,,,,,,,
F02,116,0.05925,,,,,,,,,,
F02,,,,,,,,,,,,
F02,,,,,,,,,,,,
F02,,,,,,,,,,,,
F03,126,0.05575,,,,,,,,,,
F03,,,,,,,,,,,,
F03,,,,,,,,,,,,
F03,,,,,,,,,,,,
F04,103,0.0555,,,,,,,,,,
F04,,,,,,,,,,,,
F04,,,,,,,,,,,,
F04,,,,,,,,,,,,
F05,120,0.0565,,,,,,,,,,
F05,,,,,,,,,,,,
