Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",18/03/2022 12:15:26 p.m.,27.8,27.8,30.8,31,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Meas C,0,3035,40,00:00:00.000,De=1st Ex=Btm Em=N/A,



Well,MeasA:Result,Calc1:Average within well,
A01,11652,0.099000,
A01,,,
A01,,,
A01,,,
A02,59119,0.19050,
A02,,,
A02,,,
A02,,,
A03,15519,0.096250,
A03,,,
A03,,,
A03,,,
A04,18994,0.099250,
A04,,,
A04,,,
A04,,,
A05,16908,0.10000,
A05,,,
A05,,,
A05,,,
A06,8466,0.082250,
A06,,,
A06,,,
A06,,,
A07,10927,0.095250,
A07,,,
A07,,,
A07,,,
A08,10120,0.10175,
A08,,,
A08,,,
A08,,,
A09,16706,0.094250,
A09,,,
A09,,,
A09,,,
A10,13034,0.096750,
A10,,,
A10,,,
A10,,,
A11,7139,0.098500,
A11,,,
A11,,,
A11,,,
A12,13457,0.11050,
A12,,,
A12,,,
A12,,,
B01,28547,0.10325,
B01,,,
B01,,,
B01,,,
B02,11382,0.092500,
B02,,,
B02,,,
B02,,,
B03,10335,0.10575,
B03,,,
B03,,,
B03,,,
B04,13979,0.093750,
B04,,,
B04,,,
B04,,,
B05,13888,0.087000,
B05,,,
B05,,,
B05,,,
B06,16323,0.093000,
B06,,,
B06,,,
B06,,,
B07,9952,0.089000,
B07,,,
B07,,,
B07,,,
B08,9525,0.094250,
B08,,,
B08,,,
B08,,,
B09,14507,0.098250,
B09,,,
B09,,,
B09,,,
B10,14775,0.098750,
B10,,,
B10,,,
B10,,,
B11,6198,0.095000,
B11,,,
B11,,,
B11,,,
B12,71258,0.21925,
B12,,,
B12,,,
B12,,,
C01,17156,0.10950,
C01,,,
C01,,,
C01,,,
C02,15249,0.10600,
C02,,,
C02,,,
C02,,,
C03,14583,0.11150,
C03,,,
C03,,,
C03,,,
C04,73035,0.21075,
C04,,,
C04,,,
C04,,,
C05,141071,0.27100,
C05,,,
C05,,,
C05,,,
C06,13358,0.094750,
C06,,,
C06,,,
C06,,,
C07,94204,0.18525,
C07,,,
C07,,,
C07,,,
C08,9087,0.11950,
C08,,,
C08,,,
C08,,,
C09,9553,0.091250,
C09,,,
C09,,,
C09,,,
C10,13953,0.10200,
C10,,,
C10,,,
C10,,,
C11,13930,0.11800,
C11,,,
C11,,,
C11,,,
C12,14767,0.12275,
C12,,,
C12,,,
C12,,,
D01,6913,0.094000,
D01,,,
D01,,,
D01,,,
